,model,source drug,source cell,target drug,target cell,Spearman correlation
3774,cvae,BRD-K19540840,SKBR3,BRD-K19540840,SKBR3,0.7975857988785078
3775,cvae,BRD-K80738081,A549,BRD-K80738081,HA1E,0.8486514010565895
3776,cvae,BRD-K57169635,HA1E,BRD-K80738081,HA1E,0.8486166366815382
3777,cvae,BRD-K80738081,HA1E,BRD-K80738081,HA1E,0.848464667615469
3778,cvae,BRD-K37991163,A549,BRD-K37991163,MCF7,0.8521899462081589
3779,cvae,BRD-K70301876,MCF7,BRD-K37991163,MCF7,0.8521831793417974
3780,cvae,BRD-K37991163,MCF7,BRD-K37991163,MCF7,0.8523293244129317
3781,cvae,BRD-K17743125,HT29,BRD-K17743125,PC3,0.8416522355491148
3782,cvae,BRD-K90195324,PC3,BRD-K17743125,PC3,0.8416434995567126
3783,cvae,BRD-K17743125,PC3,BRD-K17743125,PC3,0.8415936684811085
3784,cvae,BRD-K62858456,A375,BRD-K62858456,A375,0.8510928992679978
3785,cvae,BRD-K59369769,A375,BRD-K62858456,A375,0.850960942166903
3786,cvae,BRD-K62858456,A375,BRD-K62858456,A375,0.8510159109296689
3787,cvae,BRD-K92428232,HA1E,BRD-K92428232,MCF10A,0.8638192518297271
3788,cvae,BRD-K64890080,MCF10A,BRD-K92428232,MCF10A,0.8638616618016534
3789,cvae,BRD-K92428232,MCF10A,BRD-K92428232,MCF10A,0.8638934821087807
3790,cvae,BRD-K63828191,HA1E,BRD-K63828191,A375,0.834910364901569
3791,cvae,BRD-K87737963,A375,BRD-K63828191,A375,0.834908543299629
3792,cvae,BRD-K63828191,A375,BRD-K63828191,A375,0.8349243412065942
3793,cvae,BRD-A22380646,MCF7,BRD-A22380646,MCF7,0.8553565638594086
3794,cvae,BRD-K73237276,MCF7,BRD-A22380646,MCF7,0.8555385637011217
3795,cvae,BRD-A22380646,MCF7,BRD-A22380646,MCF7,0.8554743265763725
3796,cvae,BRD-K63828191,HA1E,BRD-K63828191,HA1E,0.8370041488074578
3797,cvae,BRD-K88742110,HA1E,BRD-K63828191,HA1E,0.8368346821002192
3798,cvae,BRD-K63828191,HA1E,BRD-K63828191,HA1E,0.8370271304967216
3799,cvae,BRD-K85606544,A549,BRD-K85606544,MDAMB231,0.8230589328828778
3800,cvae,BRD-K63923597,MDAMB231,BRD-K85606544,MDAMB231,0.8229721181566193
3801,cvae,BRD-K85606544,MDAMB231,BRD-K85606544,MDAMB231,0.8229779100810973
3802,cvae,BRD-K20285085,HA1E,BRD-K20285085,MCF7,0.8925512766033339
3803,cvae,BRD-K31447894,MCF7,BRD-K20285085,MCF7,0.892496250113746
3804,cvae,BRD-K20285085,MCF7,BRD-K20285085,MCF7,0.8925748291467266
3805,cvae,BRD-K78431006,YAPC,BRD-K78431006,BT20,0.7924829979596327
3806,cvae,BRD-K97764662,BT20,BRD-K78431006,BT20,0.7925529051411246
3807,cvae,BRD-K78431006,BT20,BRD-K78431006,BT20,0.7926477759661035
3808,cvae,BRD-K13566078,MDAMB231,BRD-K13566078,MCF7,0.8693859711468901
3809,cvae,BRD-K22503835,MCF7,BRD-K13566078,MCF7,0.8694974672966169
3810,cvae,BRD-K13566078,MCF7,BRD-K13566078,MCF7,0.8693831553607929
3811,cvae,BRD-K92723993,MCF7,BRD-K92723993,HS578T,0.7765608564592489
3812,cvae,BRD-K79090631,HS578T,BRD-K92723993,HS578T,0.7766665286140408
3813,cvae,BRD-K92723993,HS578T,BRD-K92723993,HS578T,0.7767365769055421
3814,cvae,BRD-K53972329,TMD8,BRD-K53972329,HS578T,0.7721946177191621
3815,cvae,BRD-K13566078,HS578T,BRD-K53972329,HS578T,0.7722728632193933
3816,cvae,BRD-K81528515,A549,BRD-K81528515,HS578T,0.7745941036323072
3817,cvae,BRD-K06569345,HS578T,BRD-K81528515,HS578T,0.7746990958934172
3818,cvae,BRD-K81528515,HS578T,BRD-K81528515,HS578T,0.7746253787416707
3819,cvae,BRD-K93747373,HS578T,BRD-K93747373,HS578T,0.7711411096310026
3820,cvae,BRD-K64890080,HS578T,BRD-K93747373,HS578T,0.7712767740768907
3821,cvae,BRD-K93747373,HS578T,BRD-K93747373,HS578T,0.7712494179773345
3822,cvae,BRD-K04801023,HS578T,BRD-K04801023,HS578T,0.7741341363142833
3823,cvae,BRD-K51313569,HS578T,BRD-K04801023,HS578T,0.7741200766260705
3824,cvae,BRD-K04801023,HS578T,BRD-K04801023,HS578T,0.7742750987996163
3825,cvae,BRD-K99451608,A549,BRD-K99451608,MCF7,0.906497974183013
3826,cvae,BRD-K50691590,MCF7,BRD-K99451608,MCF7,0.906579728191206
3827,cvae,BRD-K99451608,MCF7,BRD-K99451608,MCF7,0.9063489940835074
3828,cvae,BRD-K41895714,PC3,BRD-K41895714,BT20,0.7765854993981691
3829,cvae,BRD-K06569345,BT20,BRD-K41895714,BT20,0.7764251214583562
3830,cvae,BRD-K41895714,BT20,BRD-K41895714,BT20,0.776406629633029
3831,cvae,BRD-K81528515,A549,BRD-K81528515,MCF7,0.9078030429334452
3832,cvae,BRD-K02123250,MCF7,BRD-K81528515,MCF7,0.9078917177461918
3833,cvae,BRD-K81528515,MCF7,BRD-K81528515,MCF7,0.9079035004319796
3834,cvae,BRD-K07667918,MCF10A,BRD-K07667918,MCF10A,0.8442534831193849
3835,cvae,BRD-K04833372,MCF10A,BRD-K07667918,MCF10A,0.8442926796315509
3836,cvae,BRD-K07667918,MCF10A,BRD-K07667918,MCF10A,0.8442368257241804
3837,cvae,BRD-K16478699,XC.L100.M,BRD-K16478699,SKBR3,0.7957315620418155
3838,cvae,BRD-K87737963,SKBR3,BRD-K16478699,SKBR3,0.795801103620101
3839,cvae,BRD-K16478699,SKBR3,BRD-K16478699,SKBR3,0.7957574685567292
3840,cvae,BRD-K16730910,MCF7,BRD-K16730910,HT29,0.7966094523091433
3841,cvae,BRD-K83963101,HT29,BRD-K16730910,HT29,0.7966883456325995
3842,cvae,BRD-K16730910,HT29,BRD-K16730910,HT29,0.7967011609870925
3843,cvae,BRD-A19633847,HELA,BRD-A19633847,HELA,0.8547000944391567
3844,cvae,BRD-K28971625,HELA,BRD-A19633847,HELA,0.8545394535215989
3845,cvae,BRD-A19633847,HELA,BRD-A19633847,HELA,0.8546156465126019
3846,cvae,BRD-A26503646,A549,BRD-A26503646,HELA,0.857134248515983
3847,cvae,BRD-K31309378,HELA,BRD-A26503646,HELA,0.8571296239561284
3848,cvae,BRD-A26503646,HELA,BRD-A26503646,HELA,0.8571245888944281
3849,cvae,BRD-K26657438,HELA,BRD-K22749967,HELA,0.8573722754455326
3850,cvae,BRD-A10903566,HELA,BRD-A10903566,HELA,0.8547315234867124
3851,cvae,BRD-K08924299,HELA,BRD-A10903566,HELA,0.8547018005874526
3852,cvae,BRD-A10903566,HELA,BRD-A10903566,HELA,0.8548181393761396
3853,cvae,BRD-K11073688,HELA,BRD-K11073688,HELA,0.8488159609839547
3854,cvae,BRD-K24844714,HELA,BRD-K11073688,HELA,0.8488837322730312
3855,cvae,BRD-K11073688,HELA,BRD-K11073688,HELA,0.8488862273545615
3856,cvae,BRD-K22024824,HELA,BRD-K21908111,HELA,0.8566414602925831
3857,cvae,BRD-K99545815,HA1E,BRD-K99545815,HA1E,0.8451567860165934
3858,cvae,BRD-K08799216,HA1E,BRD-K99545815,HA1E,0.844989570655414
3859,cvae,BRD-K99545815,HA1E,BRD-K99545815,HA1E,0.8449610151207778
3860,cvae,BRD-K22134346,MCF7,BRD-K22134346,A375,0.8437656080899498
3861,cvae,BRD-K60866521,A375,BRD-K22134346,A375,0.8439119263415501
3862,cvae,BRD-K22134346,A375,BRD-K22134346,A375,0.8437737732282229
3863,cvae,BRD-A08545410,HELA,BRD-A08545410,HELA,0.8495364366216676
3864,cvae,BRD-K25630527,HELA,BRD-A08545410,HELA,0.8494614302375622
3865,cvae,BRD-A08545410,HELA,BRD-A08545410,HELA,0.8496008661691569
3866,cvae,BRD-K26712974,HELA,BRD-K26712974,HELA,0.8545463999825179
3867,cvae,BRD-K26701552,HELA,BRD-K26712974,HELA,0.8545660591724685
3868,cvae,BRD-K26712974,HELA,BRD-K26712974,HELA,0.8546703651258056
3869,cvae,BRD-K93918653,HELA,BRD-K29653726,HELA,0.8527070951504602
3870,cvae,BRD-K53665955,HT29,BRD-K53665955,HT29,0.7863150153063632
3871,cvae,BRD-K08109215,HT29,BRD-K53665955,HT29,0.7863249892183936
3872,cvae,BRD-K53665955,HT29,BRD-K53665955,HT29,0.7862666787140407
3873,cvae,BRD-K87909389,MCF10A,BRD-K87909389,MDAMB231,0.7865721562280998
3874,cvae,BRD-K53972329,MDAMB231,BRD-K87909389,MDAMB231,0.7866181773334493
3875,cvae,BRD-K87909389,MDAMB231,BRD-K87909389,MDAMB231,0.7864760218271272
3876,cvae,BRD-K97764662,BT20,BRD-K97764662,SKBR3,0.8013841596279017
3877,cvae,BRD-K50140147,SKBR3,BRD-K97764662,SKBR3,0.801192827283292
3878,cvae,BRD-K49075727,MCF10A,BRD-K49075727,MCF7,0.8817001541992457
3879,cvae,BRD-K58772419,MCF7,BRD-K49075727,MCF7,0.8817639038530531
3880,cvae,BRD-K49075727,MCF7,BRD-K49075727,MCF7,0.8817424166470712
3881,cvae,BRD-K68174511,MDAMB231,BRD-K68174511,MCF7,0.8482939694026934
3882,cvae,BRD-K61397605,MCF7,BRD-K68174511,MCF7,0.8483008966213383
3883,cvae,BRD-K68174511,MCF7,BRD-K68174511,MCF7,0.8482183280235455
3884,cvae,BRD-K49669041,MDAMB231,BRD-K49669041,SKBR3,0.7933544035806178
3885,cvae,BRD-K07691486,SKBR3,BRD-K49669041,SKBR3,0.7936718241327481
3886,cvae,BRD-K43797669,HT29,BRD-K43797669,A375,0.7936121345987577
3887,cvae,BRD-K32107296,A375,BRD-K43797669,A375,0.7936275925588819
3888,cvae,BRD-K43797669,A375,BRD-K43797669,A375,0.7936559941553261
3889,cvae,BRD-K32405725,HELA,BRD-K32405725,HELA,0.85560912511993
3890,cvae,BRD-K96550715,HELA,BRD-K32405725,HELA,0.8554914586143362
3891,cvae,BRD-K32405725,HELA,BRD-K32405725,HELA,0.8555860921179356
3892,cvae,BRD-K70511574,HELA,BRD-K70511574,YAPC,0.8420196090445846
3893,cvae,BRD-K36740062,YAPC,BRD-K70511574,YAPC,0.8419809833865479
3894,cvae,BRD-K16730910,HT29,BRD-K16730910,HA1E,0.8504095099064006
3895,cvae,BRD-K99964838,HA1E,BRD-K16730910,HA1E,0.8504023581945588
3896,cvae,BRD-K16730910,HA1E,BRD-K16730910,HA1E,0.8504536709252621
3897,cvae,BRD-K33732501,A549,BRD-K33732501,HELA,0.8550507848830566
3898,cvae,BRD-K16730910,HELA,BRD-K33732501,HELA,0.8548729093020739
3899,cvae,BRD-K16542329,HELA,BRD-K16542329,HELA,0.8539065623011052
3900,cvae,BRD-A33168282,HELA,BRD-K16542329,HELA,0.8538671605380164
3901,cvae,BRD-K16542329,HELA,BRD-K16542329,HELA,0.8538023397309555
3902,cvae,BRD-K53414658,HA1E,BRD-K53414658,A375,0.8474742677719831
3903,cvae,BRD-K66615216,A375,BRD-K53414658,A375,0.8474641719922172
3904,cvae,BRD-K53414658,A375,BRD-K53414658,A375,0.8475637571743297
3905,cvae,BRD-K54256913,A549,BRD-K54256913,HA1E,0.841785642234852
3906,cvae,BRD-A12230535,HA1E,BRD-K54256913,HA1E,0.8416966531316299
3907,cvae,BRD-K54256913,HA1E,BRD-K54256913,HA1E,0.8416959283393086
3908,cvae,BRD-K74065929,HEK293,BRD-K74065929,HT29,0.8205961655445931
3909,cvae,BRD-K62858456,HT29,BRD-K74065929,HT29,0.8206197565725338
3910,cvae,BRD-K74065929,HT29,BRD-K74065929,HT29,0.8205630752473809
3911,cvae,BRD-K44827188,MCF7,BRD-K44827188,MCF7,0.9015350838384916
